ISMS Code,User email
USXXXXX1,J1samp1@sample.net
USXXXXX2,J1samp2@sample.net
USXXXXX3,J1samp3@sample.net
USXXXXX4,J1samp4@sample.net
USXXXXX5,J1samp5@sample.net
USXXXXX6,J1samp6@sample.net
USXXXXX7,J1samp7@sample.net
USXXXXX8,J1samp8@sample.net
USXXXXX9,J1samp9@sample.net
USXXXXX10,J1samp10@sample.net
USXXXXX11,J1samp11@sample.net
USXXXXX12,J1samp12@sample.net
USXXXXX13,J1samp13@sample.net
USXXXXX14,J1samp14@sample.net
USXXXXX15,J1samp15@sample.net
USXXXXX16,J1samp16@sample.net
USXXXXX17,J1samp17@sample.net
USXXXXX18,J1samp18@sample.net
USXXXXX19,J1samp19@sample.net
